Rank,Artist,Album,Year,Spotify,Description,wiki,Duration,Minutes,Seconds,Total Seconds,Label,Sub Metal Genre,Rating,Tracks,Rolling Stone Rating,avg. BPM,max BPM,min BPM,avg. ENERGY,max ENERGY,min ENERGY,avg. VALENCE,max VALENCE,min VALENCE,avg. POP.,max POP,min POP,Max BPM Track,Min BPM Track,Max Energy Track,Min Energy Track,Max Valence Track,Min Valence Track,Max Pop Track,Min Pop Track
21,Metallica,…And Justice for All,1988,https://open.spotify.com/album/69oeRoYEpSsNPGVuYRxfoB,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-and-justice-for-all-1988-w487049,https://en.wikipedia.org/wiki/...And_Justice_for_All_(album),65:31:00,65,31,3931,Elektra,Thrash Metal,4,9,Rolling Stone,108,142,87,80,93,61,54,71,36,51,65,44,The Shortest Straw,...And Justice For All,Dyers Eve,To Live Is To Die,The Frayed Ends Of Sanity,To Live Is To Die,One,To Live Is To Die
22,Motley Crue,Too Fast for Love,1981,https://open.spotify.com/album/6fhebW3x8DvrwbdL2aXCbo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-too-fast-for-love-1981-w487063,https://en.wikipedia.org/wiki/Too_Fast_for_Love,37:40:00,37,40,2260,Leathur,Hair Metal,2.5,10,Rolling Stone,138,150,112,87,97,74,72,91,47,38,51,31,Too Fast For Love,Live Wire,Toast Of The Town,Merry-Go-Round,Public Enemy #1,Merry-Go-Round,Live Wire,Toast Of The Town
23,Danzig,Danzig,1988,https://open.spotify.com/album/3elIDlrTtrgKfbxYVgp3uW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/danzig-1988-w486966,https://en.wikipedia.org/wiki/Danzig_(album),40:57:00,40,57,2457,Def American,Heavy Metal,3.5,10,AllMusic,137,169,111,72,92,60,31,45,18,38,58,30,Evil Thing,She Rides,Am I Demon,End Of Time,Mother,End Of Time,Mother,End Of Time
24,Rage Against the Machine,Rage Against the Machine,1992,https://open.spotify.com/album/4Io5vWtmV1rFj4yirKb4y4,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rage-against-the-machine-1992-w487111,https://en.wikipedia.org/wiki/Rage_Against_the_Machine_(album),52:47:00,52,47,3167,Epic,Alternative Metal,4.5,10,Rolling Stone,130,170,89,81,93,65,48,66,28,56,74,47,Wake Up,Killing In The Name,Bombtrack,Settle For Nothing,Killing In The Name,Take The Power Back,Killing In The Name,Township Rebellion
25,Metallica,Metallica,1991,https://open.spotify.com/album/37lWyRxkf3wQHCOlXM5WfX,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-1991-w487059,https://en.wikipedia.org/wiki/Metallica_(album),62:39:00,63,39,3819,Elektra,Thrash Metal,4,12,Rolling Stone,119,172,83,79,96,36,43,67,17,55,71,43,Holier Than Thou,The God That Failed,Holier Than Thou,Nothing Else Matters,Don't Tread On Me,Nothing Else Matters,Enter Sandman,The Struggle Within
26,Alice in Chains,Dirt,1992,https://open.spotify.com/album/58NXIEYqmq5dQHg9nV9duM,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/alice-in-chains-dirt-1992-w486945,https://en.wikipedia.org/wiki/Dirt_(Alice_in_Chains_album),57:33:00,57,33,3453,Columbia,Alternative Metal,4.5,13,Rolling Stone,123,165,86,82,95,42,32,57,11,50,67,39,Them Bones,Untitled,Them Bones,Untitled,Would?,Hate To Feel,Would?,Untitled
27,System of a Down,Toxicity,2001,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/system-of-a-down-toxicity-2001-w487130,https://en.wikipedia.org/wiki/Toxicity_(album),41:48:00,41,48,2508,Columbia,Nu Metal,3.5,14,Rolling Stone,111,160,79,91,98,67,56,93,23,53,68,47,Deer Dance,Aerials,Needles,Psycho,Jet Pilot,Aerials,Chop Suey!,Jet Pilot
28,Celtic Frost,Morbid Tales,1984,https://open.spotify.com/album/2G2c7jjmwDaJVLfJc47859,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/celtic-frost-morbid-tales-1984-w486963,https://en.wikipedia.org/wiki/Morbid_Tales,29:21:00,29,21,1761,Metal Blade,Black Metal,4.5,8,AllMusic,132,185,48,83,96,44,21,49,3,26,35,19,Procreation (Of the Wicked),Human (Intro),Into the Crypts of Rays,Human (Intro),Morbid Tales,Danse Macabre,Procreation (Of the Wicked),Danse Macabre
29,Sepultura,Chaos A.D.,1993,https://open.spotify.com/album/5r4qa5AIQUVypFRXQzjaiu,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sepultura-chaos-ad-1993-w487118,https://en.wikipedia.org/wiki/Chaos_A.D.,47:09:00,47,9,2829,Roadrunner,Groove Metal,4,12,Rolling Stone,122,184,81,93,100,50,18,31,4,39,53,31,The Hunt,Amen,Biotech Is Godzilla,Kaiowas,Territory,Biotech Is Godzilla,Refuse / Resist,Clenched Fist
30,Korn,Korn,1994,https://open.spotify.com/album/7D3XFJlfZIkmGWqZXm2X8z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/korn-1994-w487014,https://en.wikipedia.org/wiki/Korn_(album),65:47:00,65,47,3947,Immortal,Nu Metal,4.5,12,AllMusic,107,171,80,86,96,74,42,87,16,46,54,39,Helmet in the Bush,Clown,Divine,Shoots and Ladders,Daddy,Fake,Blind,Helmet in the Bush
